timestamp,raw
2026-05-20T13:06:09,PM 2.5:7
2026-05-20T13:06:09,PM  10:7
2026-05-20T13:06:09,PM 1.0:4
2026-05-20T13:06:09,PM 2.5:7
2026-05-20T13:06:09,PM  10:7
2026-05-20T13:06:09,Particles > 0.3um / 0.1L air:473
2026-05-20T13:06:09,Particles > 0.5um / 0.1L air:397
2026-05-20T13:06:09,Particles > 1.0um / 0.1L air:74
2026-05-20T13:06:09,Particles > 2.5um / 0.1L air:6
2026-05-20T13:06:09,Particles > 5.0um / 0.1L air:0
2026-05-20T13:06:09,Particles > 10.0 um / 0.1L air:0
2026-05-20T13:07:09,-----------------------------------------
2026-05-20T13:07:09,PM 1.0:4
2026-05-20T13:07:09,PM 2.5:7
2026-05-20T13:07:09,PM  10:7
2026-05-20T13:07:09,PM 1.0:4
2026-05-20T13:07:10,PM 2.5:7
2026-05-20T13:07:10,PM  10:7
2026-05-20T13:07:10,Particles > 0.3um / 0.1L air:493
2026-05-20T13:07:10,Particles > 0.5um / 0.1L air:405
2026-05-20T13:07:10,Particles > 1.0um / 0.1L air:68
2026-05-20T13:07:10,Particles > 2.5um / 0.1L air:4
2026-05-20T13:07:10,Particles > 5.0um / 0.1L air:0
2026-05-20T13:07:10,Particles > 10.0 um / 0.1L air:0
2026-05-20T13:08:10,-----------------------------------------
2026-05-20T13:08:10,PM 1.0:3
2026-05-20T13:08:11,PM 2.5:6
2026-05-20T13:08:11,PM  10:6
2026-05-20T13:08:11,PM 1.0:3
2026-05-20T13:08:11,PM 2.5:6
2026-05-20T13:08:11,PM  10:6
2026-05-20T13:08:11,Particles > 0.3um / 0.1L air:424
2026-05-20T13:08:11,Particles > 0.5um / 0.1L air:348
2026-05-20T13:08:11,Particles > 1.0um / 0.1L air:64
2026-05-20T13:08:11,Particles > 2.5um / 0.1L air:2
2026-05-20T13:08:11,Particles > 5.0um / 0.1L air:0
2026-05-20T13:08:11,Particles > 10.0 um / 0.1L air:0
2026-05-20T13:09:10,-----------------------------------------
2026-05-20T13:09:11,PM 1.0:3
2026-05-20T13:09:11,PM 2.5:6
2026-05-20T13:09:11,PM  10:6
2026-05-20T13:09:11,PM 1.0:3
2026-05-20T13:09:11,PM 2.5:6
2026-05-20T13:09:11,PM  10:6
